#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_0.CP_0.CP_14.TL_0.TRADE_1294.COPY_0,Swap,2024-06-24,8.382514,-8328010.069548,EUR,-8328010.069548,EUR,54408922.87,54408922.87,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_1294.COPY_0,Swap,2024-06-24,8.382514,8328010.069548,EUR,8328010.069548,EUR,54408922.87,54408922.87,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
FS_0.CP_0.CP_14.TL_0.TRADE_2166.COPY_0,FxForward,2019-07-16,3.441358,-4139723.623521,EUR,-4139723.623521,EUR,30300176.26,30300176.26,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_2166.COPY_0,FxForward,2019-07-16,3.441358,4687562.228687,USD,4139723.623521,EUR,35769521.28,31589112.85,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
FS_0.CP_0.CP_14.TL_0.TRADE_2218.COPY_0,Swap,2022-01-26,5.972865,4637597.206685,EUR,4637597.206685,EUR,32202064.26,32202064.26,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_2218.COPY_0,Swap,2022-01-26,5.972865,-4637597.206685,EUR,-4637597.206685,EUR,32202064.26,32202064.26,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
FS_0.CP_0.CP_14.TL_0.TRADE_5106.COPY_0,FxForward,2017-01-19,0.953687,-1422838.771472,EUR,-1422838.771472,EUR,2681287.91,2681287.91,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_5106.COPY_0,FxForward,2017-01-19,0.953687,1611132.985972,USD,1422838.771472,EUR,3108176.68,2744921.94,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
FS_0.CP_0.CP_14.TL_0.TRADE_6589.COPY_0,Swap,2022-06-30,6.397522,1849047.681745,EUR,1849047.681745,EUR,32540000.29,32540000.29,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_6589.COPY_0,Swap,2022-06-30,6.397522,-1849047.681745,EUR,-1849047.681745,EUR,32540000.29,32540000.29,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
FS_0.CP_0.CP_14.TL_0.TRADE_9060.COPY_0,Swap,2022-01-05,5.915330,-301300.126215,EUR,-301300.126215,EUR,93395421.53,93395421.53,FS_0.CP_0.CP_14.TL_0,FS_0.CP_14
FS_0.CP_14.CP_0.TL_0.TRADE_9060.COPY_0,Swap,2022-01-05,5.915330,301300.126215,EUR,301300.126215,EUR,93395421.53,93395421.53,FS_0.CP_14.CP_0.TL_0,FS_0.CP_0
